Molecule,Canonical SMILES,formula,mw,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,H_acceptor,H_donor,refractivity,tpsa,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,logp,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,log_s,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,NC(C(=O)O)CSSCC(C(=O)O)N,C6H12N2O4S2,240.3,14,0,0.67,7,6,4,55.1,177.24,0.67,-5.08,-0.81,-5.83,-1.33,-2.476,2.33,5.17e+04,2.15e+02,Highly soluble,2,2.39e+04,9.96e+01,Highly soluble,0.95,2.17e+03,9.02e+00,Soluble,1.76,Low,No,No,No,No,No,No,No,-11.37,0,1,1,1,2,0.55,0,1,1,3.39
Molecule 2,OCC1OC(C(C1O)O)n1ccc(nc1=O)N,C9H13N3O5,243.22,17,6,0.56,2,6,4,55.85,130.83,0.32,-2.13,-2.88,-2.29,-2.25,-1.846,-0.14,1.78e+02,7.32e-01,Very soluble,-0.09,1.98e+02,8.16e-01,Very soluble,1.01,2.49e+03,1.02e+01,Soluble,0.26,Low,No,No,No,No,No,No,No,-9.3,0,1,0,0,1,0.55,0,0,1,3.84
Molecule 3,OC(=O)C(Cc1ccc(cc1)O)N,C9H11NO3,181.19,13,6,0.22,3,4,3,47.52,83.55,0.79,-2.26,0.35,-1.7,0.39,-0.486,0.32,3.76e+02,2.07e+00,Highly soluble,1.04,1.98e+03,1.10e+01,Highly soluble,-1.29,9.29e+00,5.13e-02,Soluble,0.023,High,No,No,No,No,No,No,No,-9.01,0,0,0,0,2,0.55,0,0,1,1.54
Molecule 4,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(N)[nH]c2=O,C10H13N5O5,283.24,20,9,0.5,2,7,5,65.5,159.51,-0.22,-1.89,-3,-2.36,-2.22,-1.938,-0.61,7.01e+01,2.48e-01,Very soluble,-0.94,3.25e+01,1.15e-01,Very soluble,0.51,9.10e+02,3.21e+00,Soluble,-0.347,Low,No,No,No,No,No,No,No,-9.37,0,1,1,1,1,0.55,0,0,0,3.86
Molecule 5,NC(=O)c1cnccn1,C5H5N3O,123.11,9,6,0,1,3,1,30.13,68.87,0.74,-0.6,-0.42,-1.66,0.08,-0.372,-0.65,2.74e+01,2.23e-01,Very soluble,-0.37,5.19e+01,4.22e-01,Very soluble,-1.2,7.82e+00,6.35e-02,Soluble,-0.74,High,No,No,No,No,No,No,No,-7.48,0,4,0,0,1,0.55,0,0,1,1.47
Molecule 6,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc2c(n1)nccn2,C10H12N4O4,252.23,18,9,0.5,2,7,3,58.27,113.52,1.23,-1.76,-1.89,-1.81,-1.66,-1.178,-0.53,7.39e+01,2.93e-01,Very soluble,-0.11,1.96e+02,7.78e-01,Very soluble,0.05,2.81e+02,1.11e+00,Soluble,-0.197,High,No,No,No,No,No,No,No,-9.09,0,1,0,0,0,0.55,0,0,0,3.95
Molecule 7,O=C1NCC(=O)N1,C3H4N2O2,100.08,7,0,0.33,0,2,2,28.64,58.2,0.33,-1.69,-1.94,-1.39,0.07,-0.924,0.6,4.02e+02,4.02e+00,Highly soluble,0.98,9.56e+02,9.56e+00,Highly soluble,-0.51,3.08e+01,3.08e-01,Soluble,0.357,Low,No,No,No,No,No,No,No,-8.11,0,4,0,0,2,0.55,0,1,1,1.02
Molecule 8,OC(=O)C(Cc1c[nH]c2c1cccc2)N,C11H12N2O2,204.23,15,9,0.18,3,3,3,57.36,79.11,0.94,-1.06,1.12,-1.66,1.53,0.174,-0.68,4.22e+01,2.07e-01,Very soluble,-0.11,1.58e+02,7.72e-01,Very soluble,-2.76,3.57e-01,1.75e-03,Soluble,-1.183,High,No,No,No,No,No,No,No,-8.3,0,0,0,0,0,0.55,0,0,1,2.09
Molecule 9,O=c1cc[nH]c(=O)[nH]1,C4H4N2O2,112.09,8,6,0,0,2,2,27.68,65.72,0.52,-1.07,-0.94,-0.8,1.35,-0.188,-0.42,4.30e+01,3.84e-01,Very soluble,0.18,1.69e+02,1.51e+00,Highly soluble,-1.41,4.39e+00,3.92e-02,Soluble,-0.55,High,No,No,No,No,No,No,No,-7.74,0,4,0,0,2,0.55,0,0,1,1.35
Molecule 10,Nc1nc2nc[nH]c2c(=O)[nH]1,C5H5N5O,151.13,11,9,0,0,3,3,38.91,100.45,-0.49,-1.07,-0.76,-1.31,0.6,-0.606,-0.71,2.96e+01,1.96e-01,Very soluble,-0.55,4.26e+01,2.82e-01,Very soluble,-1.7,3.04e+00,2.01e-02,Soluble,-0.987,High,No,No,No,No,No,No,No,-7.98,0,4,0,0,1,0.55,0,0,1,1.8
